Title,Handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Diamond Shape (product.metafields.custom.diamond_shape),Diamond Colour (product.metafields.custom.diamond_colour),Diamond Clarity (product.metafields.custom.diamond_clarity),Total Carat Weight (product.metafields.custom.total_carat_weight),Setting Style (product.metafields.custom.setting_style),Made In (product.metafields.custom.made_in)
Celestia Princess Halo Drop Earrings,celestia-princess-halo-drop-earrings,"The Celestia Princess Halo Drop Earrings feature princess-cut centre diamonds framed by elegant octagonal halos, flowing into articulated drops of emerald, marquise, oval, and pear-cut diamonds. A striking statement design that combines contemporary geometry with timeless elegance.<!-- split --><p>The Celestia Princess Halo Drop Earrings are designed to celebrate exceptional craftsmanship and modern elegance. A brilliant princess-cut centre diamond is framed by a refined octagonal halo before flowing into an articulated sequence of emerald, marquise, oval, and pear-cut diamonds, creating graceful movement and remarkable brilliance.</p><p>Expertly handcrafted, each diamond is carefully selected and precisely set to maximise light while maintaining perfect balance and comfort. The articulated design allows every section to move naturally, giving the earrings an elegant fluidity that catches the light from every angle.</p><p>Available in yellow gold, white gold, and rose gold, the Celestia Princess Halo Drop Earrings are a statement of contemporary luxury, created to elevate life's most memorable occasions and become a treasured heirloom for generations.</p>",Arlena,Apparel & Accessories > Jewelry > Earrings,Earrings,"Earrings, Diamond Earrings, Drop Earrings, Halo Earrings, Princess Cut, Emerald Cut, Marquise Cut, Oval Cut, Pear Cut, Mixed Diamond Shapes, Statement Earrings, Luxury Jewellery, Bridal Jewellery, Fine Jewellery",TRUE,active,EAR0001-10KY-LAB,,Metal,10K Yellow Gold,,Diamond,Lab Grown,,,,,2490,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,FALSE,Celestia Princess Halo Drop Earrings | Luxury Diamond Earrings,"Discover the Celestia Princess Halo Drop Earrings featuring princess, emerald, marquise, oval and pear-cut diamonds in an elegant articulated drop design.",,,,,,,,New,FALSE,,,,,,"Princess, Emerald, Marquise, Oval, Pear",DEF,VVS,2.812ct,"Halo, Claw",Australia
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-10KY-NAT,,,10K Yellow Gold,,,Natural,,,,,3690,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-10KR-LAB,,,10K Rose Gold,,,Lab Grown,,,,,5990,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-10KR-NAT,,,10K Rose Gold,,,Natural,,,,,4290,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-10KW-LAB,,,10K White Gold,,,Lab Grown,,,,,7090,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-10KW-NAT,,,10K White Gold,,,Natural,,,,,13790,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-14KY-LAB,,,14K Yellow Gold,,,Lab Grown,,,,,2490,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-14KY-NAT,,,14K Yellow Gold,,,Natural,,,,,3690,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-14KR-LAB,,,14K Rose Gold,,,Lab Grown,,,,,5990,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-14KR-NAT,,,14K Rose Gold,,,Natural,,,,,4290,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
